job_title,role,industry
Urgent Opening - Production Freshers - Bangalore Location,Production/Manufacturing/Maintenance,Pharma / Biotech / Clinical Research
Urgent Opening !! Recruiter- Mumbai!!,HR/ Recruitment / IR,Recruitment / Staffing
 Direct Walkin for Diploma Engineer Trainee!! Noida 1st to 15th July,Other,"Export, Import"
 General Manager Service / After Sales,,"Automobile, Auto Anciliary, Auto Components"
 IT System Administrator,IT Hardware,"IT-Software, Software Services"
 Deputy Chief/ Principal Engineer - Noise Specialist (hse Design),Engineering Design,"Oil and Gas, Energy, Power, Infrastructure"
 Assistant Restaurant Manager,Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways"
 Opening for a Network Engineer,Programming & Design,IT-Hardware & Networking
 Graphic Designer,Creative,"Advertising, PR, MR, Event Management"
 Manager - Quality Standards Implementation and Management,R&D,"Agriculture, Dairy"
 Chat Process Executive,Voice,"Recruitment, Staffing"
 Store Controller - Retail Sales - Apparel,Retail Sales,"Retail, Wholesale"
 Business Development Executives,Corporate Sales,"Recruitment, Staffing"
 Manager HR (corporate),HR/ Recruitment / IR,"Printing, Packaging"
 Computer Teacher,Teachers,"Recruitment, Staffing"
 NIIT is Hiring Customer Service Representative For Wipro,Voice,"BPO, Call Centre, ITeS"
 Sr. Software Engineer,Programming & Design,"IT-Software, Software Services"
 Quality Assurance Manager,QA/Testing/Documentation,"Education, Teaching, Training"
 Hiring For Learning & development Specialist with an EU MNC,HR/ Recruitment / IR,"Construction, Engineering, Cement, Metals"
 Product Manager-derma Div-leading Pharma Co-mumbai,Marketing,"Pharma, Biotech, Clinical Research"
 Application Engineer,Programming & Design,"IT-Software, Software Services"
 Talend Studio Developer,Programming & Design,"IT-Software, Software Services"
,,
 Legal Consultant,,"Recruitment, Staffing"
 Facility Executive,,Facility Management
 Youth Programme Manager,Senior Management,"Internet, Ecommerce"
 Quality Engineer (QA/QC):,Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery"
 Pre Sales Infrastructure Architect,Programming & Design,"Recruitment, Staffing"
,,
 Permanent job - Java Developer @ Product Based Company -0.6 yrs,Programming & Design,"IT-Software, Software Services"
" Immediate job Opening ""Sap Abapconsultant""-bangalore,hyderabad,chennai",Programming & Design,"IT-Software, Software Services"
 Software Architect - Video Analytics,Programming & Design,"IT-Software, Software Services"
 Freshers/ BPO / Call Center / back Office / Data Entry,Other,"BPO, Call Centre, ITeS"
 Hiring For Asp.net with MVC,Programming & Design,"IT-Software, Software Services"
 Java Developer Walk In Interview,Programming & Design,"IT-Software, Software Services"
 Sales Operations Analyst,Operations,"IT-Software, Software Services"
 UGC NET Commerce Faculty Required in Bangalore. Walk-in Interview,University Level,"Education, Teaching, Training"
 Software Engineer _ PLC,Programming & Design,"Automobile, Auto Anciliary, Auto Components"
 Head HR,,"Education, Teaching, Training"
 Filenet developer,Programming & Design,"IT-Software, Software Services"
 Senior Associate - MIddle Office Operations - Derivatives,Programming & Design,"Banking, Financial Services, Broking"
 Mobile App Developer,Programming & Design,"IT-Software, Software Services"
 Consultant-Coronary care,Medical Professional,"Internet, Ecommerce"
 Associate - Franchise Operations,Back Office/Web/Transaction Processing,"Internet, Ecommerce"
 Sr.manager PR ( Media Expert )- International Renowned Group,Public Relations,"Wellness , Fitness , Sports, Beauty"
 AngularJS Expert,Programming & Design,"Strategy, Management Consulting Firms"
Walk-in for Experienced AQA & Ar&d-(fml) Professionals on 6th July,R&D,Pharma / Biotech / Clinical Research
 Aasaanjobs.com(olx Group) is Hiring for Engagement Associate(tl),Other,"Recruitment, Staffing"
 Medical Representative,Retail Sales,"Pharma, Biotech, Clinical Research"
Deputy Manager / Assistant Manager - Accounts - Pune(manjri & Bavdhan),Accounts,Real Estate / Property
 On Boarding & Customer Relations,Institutional Sales,"Medical, Healthcare, Hospitals"
 Senior Software Engineer - Full Stack - Go & Reactjs,Programming & Design,"IT-Software, Software Services"
 International Voice Specialist - TOP MNC BPO Bangalore,Voice,"BPO, Call Centre, ITeS"
 Test Engineer II,Programming & Design,"Electricals, Switchgears"
 IOS Developer (male),Programming & Design,"IT-Software, Software Services"
 Hadoop Developer,Programming & Design,"IT-Software, Software Services"
 Game Artist (Vehicles) ,Creative,"Animation, Gaming"
 Account Executives,Accounts,"Travel , Hotels , Restaurants , Airlines , Railways"
" Manager - Logistics/ Operations (exhibitions), 5-10 yrs Exp., Mumbai",Logistics,"Advertising, PR, MR, Event Management"
 Sales / Marketing Executive,Retail Sales,"IT-Software, Software Services"
 RES JD Controller,Accounts,"Oil and Gas, Energy, Power, Infrastructure"
 Head Flying Parts - Procurement,,"Aviation, Aerospace, Aeronautical"
" SrRep , Fin Plan&Analy",Accounts,"Banking, Financial Services, Broking"
 Sales (International) - Creative Design,Retail Sales,"Strategy, Management Consulting Firms"
 Area Sales Manager,Retail Sales,"Medical, Healthcare, Hospitals"
Sailpoint Developer,Programming & Design,IT-Software / Software Services
 Programmers -ASP.NET / VB.NET / C# / ASP,Programming & Design,"IT-Software, Software Services"
 Business Associate ( Cooling Tower Water Treatment ),Production/Manufacturing/Maintenance,"Heat Ventilation, Air Conditioning"
" Graphic Designer, Creative Graphic Designer",,Other
" Montessori Teacher, Discovery Montessori,usa,sec 57,gurugram",Other,"Education, Teaching, Training"
Microsoft Dynamics CRM Functional,Programming & Design,IT-Software / Software Services
Senior Clinical Data Manager,R&D,Pharma / Biotech / Clinical Research
 HR Generalist,HR/ Recruitment / IR,"Courier, Transportation, Freight , Warehousing"
 Recruitment Executive,HR/ Recruitment / IR,"Recruitment, Staffing"
 CN - Strategy - MC - F&EP - Indirect Tax,Accounts,"IT-Software, Software Services"
 Sr Manager Maintenance For Pharma API Company in Chennai Location.,Production/Manufacturing/Maintenance,"Pharma, Biotech, Clinical Research"
 Head Chemical Practice,Senior Management,"IT-Software, Software Services"
 Back End Developer,Programming & Design,"IT-Software, Software Services"
Pharmacist,R&D,Medical / Healthcare / Hospitals
 MSBI DEVELOPER,Programming & Design,"Recruitment, Staffing"
 MEGA Walkin For BPO Voice Process!!! Meet Hr Vaishnavi,Voice,"BPO, Call Centre, ITeS"
 Research Scientist,R&D,"Pharma, Biotech, Clinical Research"
 Front Desk Executive,,"IT-Software, Software Services"
 Hiring For an Assistant Manager - FP&A - Salary Upto 15lpa,Finance/Audit,"BPO, Call Centre, ITeS"
 Corporate Marketer - Brand Specialist ( Digital ),Online/Digital Marketing,"Internet, Ecommerce"
 Software Developer/ Sr. Software Developer,Programming & Design,"IT-Software, Software Services"
 Regional Sales Manager ,Retail Sales,"Recruitment, Staffing"
 Mechanical Engineer Design - Freshers,Engineering Design,"IT-Software, Software Services"
 CIVIL- Professor,University Level,"Education, Teaching, Training"
 Mega Walk-in For Scripting Editor- Freshers Welcome,Content Development,"Media, Entertainment, Internet"
,,
 Assistant Manager - Collections,Retail/Personal Banking,"Banking, Financial Services, Broking"
 Selenium with Automation Testing,Programming & Design,"IT-Software, Software Services"
 Golden Oppurtunity For Freshers,Other,"BPO, Call Centre, ITeS"
 Process Executive - Voice Process,Other,"BPO, Call Centre, ITeS"
 Collection Executive,Other,"Banking, Financial Services, Broking"
 Content Writer,Content Development,"Strategy, Management Consulting Firms"
 Senior Developer,Programming & Design,"IT-Software, Software Services"
Taxation Analyst,Accounts,Media / Entertainment / Internet
 Sr. Php Developer,Programming & Design,"BPO, Call Centre, ITeS"
 Marketing Assistant,Marketing,IT-Hardware & Networking
 Motion Graphic Designer,Creative,"Education, Teaching, Training"
 Business Development Manager,Corporate Sales,"Industrial Products, Heavy Machinery"
 System Testing Engineer,Programming & Design,"Oil and Gas, Energy, Power, Infrastructure"
 Software Developer - Asp/.net/sql Server,Programming & Design,"IT-Software, Software Services"
 TFS Admin Automation Engineer Philps ooo8686 Xpheno,Programming & Design,"Recruitment, Staffing"
 Business Development Executive,Corporate Sales,"Strategy, Management Consulting Firms"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Site Engineer - Finishing,Site Engineering,"Construction, Engineering, Cement, Metals"
 OBI Developer,Programming & Design,"IT-Software, Software Services"
 Content Management Executive,Online/Digital Marketing,"IT-Software, Software Services"
 Oracle DBA,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Website Outbound process,Voice,"IT-Software, Software Services"
 Tally Accountant,Accounts,Iron and Steel
 On The Spot Offer Letter !!! Barclays / EXL / Amazon/ Wipro - Bhawna,Voice,"BPO, Call Centre, ITeS"
 Software Team Leader,Programming & Design,Other
 Desktop Support Engineer(bangalore),Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Editor for Magazine,Editor,"Recruitment, Staffing"
 Executive ? Regulatory Affairs,Drug Regulatory Affairs/Documentation,"Pharma, Biotech, Clinical Research"
 Deck cadet & Engine cadet-Bulk carrier,Shipping,"Shipping, Marine"
 Dot Net Developer Andheri,Programming & Design,"Retail, Wholesale"
 Android/iPhone developer,Programming & Design,"Medical, Healthcare, Hospitals"
 Android Developer,Programming & Design,"IT-Software, Software Services"
 Regional Sales Manager - Tamil Nadu (automotive Equiptment),Corporate Sales,"Automobile, Auto Anciliary, Auto Components"
 Deputy General Manager/ Senior Manager - Sales & Marketing,Institutional Sales,"Real Estate, Property"
 Sales Quality Manager,Retail Sales,"Banking, Financial Services, Broking"
 Project Manager,Project Management,"BPO, Call Centre, ITeS"
 Sales Manager,Retail Sales,"IT-Software, Software Services"
" Position Hiring For ""assistant Manager-bpm",Voice,"IT-Software, Software Services"
 Full Time Part Time Work / home Based Work / Freelancer Online,Retail Sales,"BPO, Call Centre, ITeS"
 Full- Stack / Front End Web Developer,Programming & Design,"IT-Software, Software Services"
 CRM Executive/manager,,Other
 Contact John Immediate Offer with Digital Relationship Manager For bpo,Voice,"BPO, Call Centre, ITeS"
" Operation Theatre Nurse for Columbia Asia Hospital - Hebbal, Bangalore",Medical Professional,"Medical, Healthcare, Hospitals"
 Global Resource Manager,HR/ Recruitment / IR,"Recruitment, Staffing"
 C Developer,Programming & Design,"IT-Software, Software Services"
 .3D Visualiser,Creative,"Construction, Engineering, Cement, Metals"
 Business Development Manager/manager Sales,Retail Sales,IT-Hardware & Networking
 International Marketing Executive-polymer For a Reputed MNC at Mumbai,Channel Sales,"Chemicals, PetroChemical, Plastic, Rubber"
" Walkin @concentrix - Facilities Admin, Team Lead on 27th and 28th June",Administration/Facility Management,"BPO, Call Centre, ITeS"
 Electrician for Medigraph Pharma -taloja Midc- Supervisor License must,Site Engineering,"Pharma, Biotech, Clinical Research"
 Electrical SP3D Designer,Engineering Design,"Oil and Gas, Energy, Power, Infrastructure"
 Java Developer_fte_hyderabad,Programming & Design,"IT-Software, Software Services"
 Sales Executive in Education Sector Good Package + Incentive,Corporate Sales,"Education, Teaching, Training"
 Manager/Senior Manager/Assistant Vice President - RBI Liaison Desk,Operations/Processes/Finance/Legal,"Banking, Financial Services, Broking"
 Account Manager Enterprise Accounts (AMEA/TJ/ML),Corporate Sales,"Education, Teaching, Training"
 Inbound Tech Support,Voice,"IT-Software, Software Services"
 HR Recruiter,HR/ Recruitment / IR,"Banking, Financial Services, Broking"
 Technical Writer,Editor,"IT-Software, Software Services"
 Job Opportunity For Asst Manager/ Manager Operations,Advertising,"Advertising, PR, MR, Event Management"
 Hiring For Telesales || Fresher and Experience Can Apply,Voice,"BPO, Call Centre, ITeS"
 CUSTOMER CARE ASSOCIATES,Voice,"Aviation, Aerospace, Aeronautical"
 Sr Developer - Php/magento,Programming & Design,"IT-Software, Software Services"
 Visa Counselor/study Visa Counselor,Teachers,"Education, Teaching, Training"
 Opening For CORE JAVA Developers,Programming & Design,"IT-Software, Software Services"
 Avamar Backup Administration,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Software Developer,Operations,"IT-Software, Software Services"
 Assistant Manager Process Excellence - SIx Sigma,,"Banking, Financial Services, Broking"
 Physical Design Engineer,Programming & Design,IT-Hardware & Networking
 Data Engineer,Programming & Design,"IT-Software, Software Services"
" Looking For Fresher - BA, Bcom, CA, CA Inter, CS (Non IT)",Finance/Audit,"FMCG, Foods, Beverage"
 Opening For Escalation Associate For Voice Process,Voice,"BPO, Call Centre, ITeS"
 Adeeba Group is Currently hiring for /US Inbound Tech Process.,Voice,"IT-Software, Software Services"
 Associate Manager,Finance/Audit,"Education, Teaching, Training"
 Deputy Manager / Area Manager-home Loans /mortgages,Retail Sales,"Banking, Financial Services, Broking"
 Sr. Customer Care Executive Inbound,Voice,"IT-Software, Software Services"
 Paralegal Associate,,"BPO, Call Centre, ITeS"
 Site Incharge- HVAC BMS Project -,Project Management,Facility Management
